event_id,event_name,event_type,description,date,year,month,visibility_regions
36,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2037-01-31 visible in Europe, Africa, Asia, Australia, Pacific.",2037-01-31,2037,January,Europe|Africa|Asia|Australia|Pacific
37,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2037-07-27 visible in Americas, Europe, Africa.",2037-07-27,2037,July,Americas|Europe|Africa
38,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2038-01-21 visible in Americas, Europe, Africa.",2038-01-21,2038,January,Americas|Europe|Africa
39,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2038-06-17 visible in North America, South America, Africa, Europe.",2038-06-17,2038,June,North America|South America|Africa|Europe
40,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2038-07-16 visible in Australia, Asia, Pacific, Americas.",2038-07-16,2038,July,Australia|Asia|Pacific|Americas
41,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2038-12-11 visible in Europe, Africa, Asia, Australia.",2038-12-11,2038,December,Europe|Africa|Asia|Australia
42,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2039-06-06 visible in Europe, Africa, Asia, Australia.",2039-06-06,2039,June,Europe|Africa|Asia|Australia
43,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2039-11-30 visible in Europe, Africa, Asia, Australia, Pacific.",2039-11-30,2039,November,Europe|Africa|Asia|Australia|Pacific
44,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2040-05-26 visible in Asia, Australia, Pacific, Americas.",2040-05-26,2040,May,Asia|Australia|Pacific|Americas
45,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2040-11-18 visible in Americas, Europe, Africa, Asia, Australia.",2040-11-18,2040,November,Americas|Europe|Africa|Asia|Australia
46,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2041-05-16 visible in Americas, Europe, Africa, Asia.",2041-05-16,2041,May,Americas|Europe|Africa|Asia
47,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2041-11-08 visible in Americas, Europe, Africa.",2041-11-08,2041,November,Americas|Europe|Africa
48,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2042-04-05 visible in Asia, Australia, Pacific.",2042-04-05,2042,April,Asia|Australia|Pacific
49,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2042-09-29 visible in Asia, Australia, Pacific, Americas.",2042-09-29,2042,September,Asia|Australia|Pacific|Americas
50,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2043-03-25 visible in Africa, Europe, Asia, Australia, Pacific.",2043-03-25,2043,March,Africa|Europe|Asia|Australia|Pacific
51,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2043-09-19 visible in Americas, Europe, Africa, Asia.",2043-09-19,2043,September,Americas|Europe|Africa|Asia
52,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2044-03-13 visible in South America, Europe, Africa, Asia, Australia.",2044-03-13,2044,March,South America|Europe|Africa|Asia|Australia
53,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2044-09-07 visible in Asia, Australia, Pacific, Americas.",2044-09-07,2044,September,Asia|Australia|Pacific|Americas
54,Penumbral Lunar Eclipse,Penumbral,Penumbral lunar eclipse occurring on 2045-03-03 visible in Americas.,2045-03-03,2045,March,Americas
55,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2045-08-27 visible in Asia, Australia, North America.",2045-08-27,2045,August,Asia|Australia|North America
56,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2046-01-22 visible in Asia, Australia, North America.",2046-01-22,2046,January,Asia|Australia|North America
57,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2046-07-18 visible in Americas, Europe, Africa, Asia.",2046-07-18,2046,July,Americas|Europe|Africa|Asia
58,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2047-01-12 visible in Americas, Europe, Africa, Asia.",2047-01-12,2047,January,Americas|Europe|Africa|Asia
59,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2047-07-07 visible in Asia, Australia, Pacific, Americas.",2047-07-07,2047,July,Asia|Australia|Pacific|Americas
60,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2048-01-01 visible in Asia, Pacific, Americas, Europe, Africa.",2048-01-01,2048,January,Asia|Pacific|Americas|Europe|Africa
61,Partial Lunar Eclipse,Partial,"Partial lunar eclipse occurring on 2048-06-26 visible in Americas, Europe, Africa.",2048-06-26,2048,June,Americas|Europe|Africa
62,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2048-12-20 visible in Americas, Europe, Africa.",2048-12-20,2048,December,Americas|Europe|Africa
63,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2049-05-17 visible in Asia, Australia, Pacific, Americas.",2049-05-17,2049,May,Asia|Australia|Pacific|Americas
64,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2049-06-15 visible in Europe, Africa, Asia, Australia.",2049-06-15,2049,June,Europe|Africa|Asia|Australia
65,Penumbral Lunar Eclipse,Penumbral,"Penumbral lunar eclipse occurring on 2049-11-09 visible in Europe, Africa, Asia, Australia, Pacific.",2049-11-09,2049,November,Europe|Africa|Asia|Australia|Pacific
66,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2050-05-06 visible in Americas, Europe, Africa, Asia, Australia.",2050-05-06,2050,May,Americas|Europe|Africa|Asia|Australia
67,Total Lunar Eclipse,Total,"Total lunar eclipse occurring on 2050-10-30 visible in Americas, Europe, Africa, Asia.",2050-10-30,2050,October,Americas|Europe|Africa|Asia
